job_id,budget,task_id,method,seed,candidate_attempt,SUN
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,26,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,27,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,28,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,29,0
budget-final-made-5229dd593febbbedf3d3fc63,30,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,30,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,0,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,1,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,2,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,3,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,4,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,5,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,6,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,7,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,8,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,9,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,10,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,11,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,12,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,13,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,14,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,15,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,16,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,17,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,18,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,19,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,20,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,21,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,22,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,23,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,24,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,25,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,26,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,27,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,28,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,29,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,30,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,0,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,1,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,2,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,3,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,4,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,5,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,6,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,7,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,8,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,9,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,10,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,11,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,12,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,13,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,14,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,15,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,16,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,17,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,18,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,19,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,20,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,21,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,22,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,23,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,24,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,25,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,26,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,27,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,28,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,29,0
budget-final-made-9e1ea458840dddf355f8c735,30,Ca-Pd-Sn-W,esopt_graph_risk,1,30,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,0,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,1,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,2,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,3,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,4,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,5,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,6,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,7,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,8,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,9,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,10,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,11,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,12,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,13,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,14,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,15,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,16,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,17,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,18,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,19,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,20,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,21,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,22,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,23,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,24,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,25,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,26,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,27,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,28,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,29,0
budget-final-made-b1ade687c701620d36bd740e,30,Cd-Gd-Mn-Na-Ta,baseline,1,30,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,0,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,1,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,2,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,3,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,4,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,5,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,6,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,7,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,8,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,9,0
budget-final-made-ae7150fca0797615db04e008,30,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,10,0
