feature,family,cohort,n,train_mean,train_std,normalizer_std,std_floor_applied,mean,standardized_mean,max_abs_z,outside_train_range,abs_z_above3,abs_z_above5
hidden.layer_29.input_rms,hidden,all_scored_candidates,239,1.2732515907287598,0.006261367355229436,0.006261367355229436,False,1.2767540311214813,0.5593730880198856,3.1037056380151045,17,1,0
hidden.layer_29.input_rms,hidden,selected,224,1.2732515907287598,0.006261367355229436,0.006261367355229436,False,1.277507670223713,0.6797364303179663,3.1037056380151045,17,1,0
hidden.layer_29.input_rms,hidden,first_scored,219,1.2732515907287598,0.006261367355229436,0.006261367355229436,False,1.2775820422934614,0.691614358177678,3.1037056380151045,17,1,0
hidden.layer_29.output_mean,hidden,dev,50,-0.0015289027290418743,0.00015619038397062207,0.00015619038397062207,False,-0.0015271655237302185,0.011122357647719773,1.9242851899555782,0,0,0
hidden.layer_29.output_mean,hidden,train,75,-0.0015289027290418743,0.00015619038397062207,0.00015619038397062207,False,-0.0015289027290418743,-3.776348446911844e-16,2.4284699366203615,0,0,0
hidden.layer_29.output_mean,hidden,all_scored_candidates,239,-0.0015289027290418743,0.00015619038397062207,0.00015619038397062207,False,-0.00124886212992252,1.7929439188268308,4.629127685778857,73,14,0
hidden.layer_29.output_mean,hidden,selected,224,-0.0015289027290418743,0.00015619038397062207,0.00015619038397062207,False,-0.0012462450667953817,1.809699515814353,4.629127685778857,73,14,0
hidden.layer_29.output_mean,hidden,first_scored,219,-0.0015289027290418743,0.00015619038397062207,0.00015619038397062207,False,-0.0012440549974652969,1.8237213094383242,4.629127685778857,72,14,0
hidden.layer_29.output_rms,hidden,dev,50,0.24338285942872365,0.005324461963474705,0.005324461963474705,False,0.24282438337802886,-0.10488872951405587,2.3016524402861145,0,0,0
hidden.layer_29.output_rms,hidden,train,75,0.24338285942872365,0.005324461963474705,0.005324461963474705,False,0.24338285942872365,1.1824048684605515e-15,2.471822705865515,0,0,0
hidden.layer_29.output_rms,hidden,all_scored_candidates,239,0.24338285942872365,0.005324461963474705,0.005324461963474705,False,0.24388873583352716,0.09500986358316961,2.608860074903603,8,0,0
hidden.layer_29.output_rms,hidden,selected,224,0.24338285942872365,0.005324461963474705,0.005324461963474705,False,0.2445189108672951,0.21336455145414712,2.608860074903603,4,0,0
