model,fold,heldout_episode,optimizer_updates,split,auroc,brier,n,n_at_or_above_fixed_point6,nll,model_state_hash,source_sha256
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,32,train,0.7884108867427568,0.17766165175362827,186,120,0.5285297740980476,3243c372c7de2ff1928d9c8159e483e4b42fde6f365e0ba73603d3102b9e6e77,044710dd883c859ecc2f91fe51ad8f3e98524de854d8a72de559713fb3095374
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,32,heldout_training_episode,0.4561497326203209,0.2729645121743727,107,34,0.7551776543442086,3243c372c7de2ff1928d9c8159e483e4b42fde6f365e0ba73603d3102b9e6e77,044710dd883c859ecc2f91fe51ad8f3e98524de854d8a72de559713fb3095374
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,64,train,0.9760441490028847,0.07101271434434432,186,116,0.24566745830280942,af788e3c54b920c566915dcb243fbbf569bc895ca2633c4e18cdb27cde7b928b,55dc5f13c19304a34acf4dccf345158419cdff5f82a1e73ae068b87e74c6cd05
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,64,heldout_training_episode,0.43903743315508026,0.4077569105084782,107,45,1.3549256477987388,af788e3c54b920c566915dcb243fbbf569bc895ca2633c4e18cdb27cde7b928b,55dc5f13c19304a34acf4dccf345158419cdff5f82a1e73ae068b87e74c6cd05
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,128,train,1.0,2.6242932150641916e-05,186,119,0.003394322913852559,7f6bfbb16e356c1b53769253be957d5ab6490e2c4c2842f3efc510b89ebe52b1,436dffa989999b4910c1523596e1fbd3412125732b37620ab5ff0d5956895681
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,128,heldout_training_episode,0.4197860962566845,0.5064684412970379,107,48,3.501597364223095,7f6bfbb16e356c1b53769253be957d5ab6490e2c4c2842f3efc510b89ebe52b1,436dffa989999b4910c1523596e1fbd3412125732b37620ab5ff0d5956895681
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,200,train,1.0,2.4844039183714497e-06,186,119,0.0010477674638938175,4e70ec22a7cd1efae1d2b0edf90a86f3cf9f7a912a409bd34c008db8fb292180,8b4ee31e327f5f00ead63c5f41085b9a062322d6e54d0c51d56b6afce527e1d7
full_internal,2,collection-made-b5744f83a99f950e49cfafd4:episode:0,200,heldout_training_episode,0.42566844919786095,0.5110184653949956,107,48,4.026770936878542,4e70ec22a7cd1efae1d2b0edf90a86f3cf9f7a912a409bd34c008db8fb292180,8b4ee31e327f5f00ead63c5f41085b9a062322d6e54d0c51d56b6afce527e1d7
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,0,train,0.4743890977443609,0.2523173941998881,208,0,0.6977839555072962,63ec081c047fb09ececdf0d177bcd6a28be1d22f67072122640b2ee445443133,e542a1b5c1782b5aff6f10125f513d97f4b1e987b7d2e456282f175878e33470
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,0,heldout_training_episode,0.49300699300699297,0.25109930056153845,85,0,0.6953464444128943,63ec081c047fb09ececdf0d177bcd6a28be1d22f67072122640b2ee445443133,e542a1b5c1782b5aff6f10125f513d97f4b1e987b7d2e456282f175878e33470
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,2,train,0.4881343984962406,0.24897022403668523,208,0,0.6910868925397965,ea138a7a0e50cc004c81c888d25cff3047ef14b37c0340d0acf74703168566b7,eb553dd557c8f63bbe05e62f647e45401cccb3e881dd8fbe743e711e6f9a638a
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,2,heldout_training_episode,0.48892773892773894,0.2496410052835535,85,0,0.6924290308478868,ea138a7a0e50cc004c81c888d25cff3047ef14b37c0340d0acf74703168566b7,eb553dd557c8f63bbe05e62f647e45401cccb3e881dd8fbe743e711e6f9a638a
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,4,train,0.5106907894736843,0.24573960499839792,208,0,0.6846229346177215,4ce458c204a6d2a27e640c795f37a22565f355a8b4bffa53a2fa664eb38636f1,024467ef64e212e134997bfa9b931b58cb8ccf4018f3c172be5db37a5d766279
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,4,heldout_training_episode,0.4854312354312354,0.24828243827288632,85,0,0.6897111991060499,4ce458c204a6d2a27e640c795f37a22565f355a8b4bffa53a2fa664eb38636f1,024467ef64e212e134997bfa9b931b58cb8ccf4018f3c172be5db37a5d766279
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,8,train,0.5707236842105262,0.23945538217740617,208,0,0.6720356622978909,d5281e0ca429dde879c5982b85bb2dd88e5df67d94457c5e8edde48954083052,d9bb9e1785226ba38b8738b44362aa2616a6bfc0f2aa9f4cd3c3d34355e5c795
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,8,heldout_training_episode,0.48717948717948717,0.245806418674193,85,0,0.6847538881762921,d5281e0ca429dde879c5982b85bb2dd88e5df67d94457c5e8edde48954083052,d9bb9e1785226ba38b8738b44362aa2616a6bfc0f2aa9f4cd3c3d34355e5c795
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,16,train,0.6085526315789473,0.22663952280100025,208,0,0.6461910248949394,608c21b190f2467c0f2e79d66459c8fe200478a3f035d3811fc02739f0877bb8,5358c1fa0618a6df81aa86a3d2167137ddf60c308f3ab1c8a5a48875035b39a9
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,16,heldout_training_episode,0.47960372960372966,0.24164581157533668,85,0,0.6763843942658877,608c21b190f2467c0f2e79d66459c8fe200478a3f035d3811fc02739f0877bb8,5358c1fa0618a6df81aa86a3d2167137ddf60c308f3ab1c8a5a48875035b39a9
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,32,train,0.6316964285714285,0.19856909771386366,208,162,0.5863732878392317,8771ed9db2161cd946dc2f199508ac8f118d9b7cae070d92a01c77c1df664be7,bd26b26975fa14ce3c8e642c22d6e5dcdc12094b8e3df87ffefb6cc5fc515cf3
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,32,heldout_training_episode,0.504079254079254,0.24060607613376916,85,72,0.6749328907819157,8771ed9db2161cd946dc2f199508ac8f118d9b7cae070d92a01c77c1df664be7,bd26b26975fa14ce3c8e642c22d6e5dcdc12094b8e3df87ffefb6cc5fc515cf3
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,64,train,0.6520206766917294,0.18465756069103917,208,201,0.5493512815747583,0b5b7aeab5993966f9d640e4f352d329b6d2a0c022b819e5751c0189c8fbbf5f,90f358aa00ed0ab9d97244b0b1fab92130d10d89de5651967f6e188ebcf34ee3
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,64,heldout_training_episode,0.5454545454545454,0.2624019571106678,85,81,0.7587836740472079,0b5b7aeab5993966f9d640e4f352d329b6d2a0c022b819e5751c0189c8fbbf5f,90f358aa00ed0ab9d97244b0b1fab92130d10d89de5651967f6e188ebcf34ee3
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,128,train,0.6806860902255639,0.1781132162617435,208,193,0.5327514221236433,f3859550596fc42a19e359b0501e07643f16b1b054f9154fc832f87cfc1a62cf,f4078a01e54ae460cb331b0dfe253e49e95b29deb965ab5274e98c7455a10358
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,128,heldout_training_episode,0.5425407925407926,0.25844659115956486,85,76,0.7550814761054009,f3859550596fc42a19e359b0501e07643f16b1b054f9154fc832f87cfc1a62cf,f4078a01e54ae460cb331b0dfe253e49e95b29deb965ab5274e98c7455a10358
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,200,train,0.7582236842105262,0.1568442343502314,208,176,0.4773276616683203,97959a679fac18e88156a1274c641a6ee024e922716d71b96eed1f4cc97a979b,946fd212f9bf0e487578f77358bf0b27eaca47fdfde9a6dc9f27a4e2c98571d5
external_only_control,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,200,heldout_training_episode,0.4871794871794871,0.2726245159374072,85,69,0.8066763048312672,97959a679fac18e88156a1274c641a6ee024e922716d71b96eed1f4cc97a979b,946fd212f9bf0e487578f77358bf0b27eaca47fdfde9a6dc9f27a4e2c98571d5
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,0,train,0.5037823490378235,0.251758600910397,192,0,0.6966657756926251,63ec081c047fb09ececdf0d177bcd6a28be1d22f67072122640b2ee445443133,f26182ab8e87bace44a03fe02f1ffcdb3c3dd7845263008030e255a5f5152a4e
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,0,heldout_training_episode,0.4398595258999122,0.25248024990540596,101,0,0.6981101158944284,63ec081c047fb09ececdf0d177bcd6a28be1d22f67072122640b2ee445443133,f26182ab8e87bace44a03fe02f1ffcdb3c3dd7845263008030e255a5f5152a4e
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,2,train,0.5122760451227606,0.2487875182368037,192,0,0.6907214016673612,d676ed0a428e342da95b5a14fc7eb529f9ef5405f77447a147588d01d5a18724,c132849987206250df4f73fdb69bf1a960a659edd0b62f1f3c812436c5cdf44e
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,2,heldout_training_episode,0.44205443371378406,0.25026508511583295,101,0,0.6936776421449922,d676ed0a428e342da95b5a14fc7eb529f9ef5405f77447a147588d01d5a18724,c132849987206250df4f73fdb69bf1a960a659edd0b62f1f3c812436c5cdf44e
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,4,train,0.5248838752488387,0.2459302923923625,192,0,0.685004249665,1fd8b6c79f3b89a5f80058d282c9d456b92a53fb937f060ef706f727aef63f61,81cb4d7d9dd7dd39564e604e86c2f697889706a817c8f4574edd0ac28339fea4
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,4,heldout_training_episode,0.44468832309043016,0.2481533102784686,101,0,0.689452800730808,1fd8b6c79f3b89a5f80058d282c9d456b92a53fb937f060ef706f727aef63f61,81cb4d7d9dd7dd39564e604e86c2f697889706a817c8f4574edd0ac28339fea4
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,8,train,0.5477106834771067,0.2404065599161435,192,0,0.6739403178730767,961efd34ddadac26209b6dc88c2c8146ad70058133ca379e3f05b4d1744d1e87,0afee7e50d5861175c261d8dc8229527f82e85d7866f50766863d940ba36b877
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,8,heldout_training_episode,0.4591747146619842,0.24415275064093486,101,0,0.6814450675142657,961efd34ddadac26209b6dc88c2c8146ad70058133ca379e3f05b4d1744d1e87,0afee7e50d5861175c261d8dc8229527f82e85d7866f50766863d940ba36b877
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,16,train,0.5974784339747843,0.22925740485258905,192,0,0.6514776041708489,99a9a16002bbd1ee0a6a98ed0ced89fe634d9a3cf4e898e8764e750c027c4ace,e95c86ec32ca913a2a5d612cb2060fa3b5b00ec59b23176c14242c4272813a53
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,16,heldout_training_episode,0.4868305531167691,0.23667625572473225,101,0,0.6664177794635534,99a9a16002bbd1ee0a6a98ed0ced89fe634d9a3cf4e898e8764e750c027c4ace,e95c86ec32ca913a2a5d612cb2060fa3b5b00ec59b23176c14242c4272813a53
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,32,train,0.6043795620437955,0.20592535418478078,192,174,0.6024278565565989,6b70e839f7e5fd54c1167323f4a9c8c1ecbe65dad21acdb52b6afa12940aa0f2,12e971103644f1661176406c13bd102f5c02bd46753898be7e1532d0683db8fe
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,32,heldout_training_episode,0.5276558384547849,0.2252919912310083,101,91,0.6430616732896451,6b70e839f7e5fd54c1167323f4a9c8c1ecbe65dad21acdb52b6afa12940aa0f2,12e971103644f1661176406c13bd102f5c02bd46753898be7e1532d0683db8fe
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,64,train,0.6151293961512939,0.19618650837519933,192,177,0.5786000244408277,6e35bebd1d2baf95e0ec5a5e84b6e3a028ac633fdaadf191189ddd7a8d923b1d,d18e7bc65faa8435b3588b1c620198cab60891134bf9a1f07e3d5d8554f3ebf8
external_only_control,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,64,heldout_training_episode,0.5539947322212467,0.2275269207381777,101,92,0.6507253779640928,6e35bebd1d2baf95e0ec5a5e84b6e3a028ac633fdaadf191189ddd7a8d923b1d,d18e7bc65faa8435b3588b1c620198cab60891134bf9a1f07e3d5d8554f3ebf8
