job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,5,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,6,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,7,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,8,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,9,0
component-final-613da1e8bf281966bbdc66db,baseline_reference,Co-Mg-Na,4,10,10,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,0,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,1,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,2,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,3,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,4,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,5,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,6,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,7,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,8,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,9,0
support-final-ccd9a242b4945d6cfcdb68dc,uq_only_support_aware,Al-Li-V,2,10,10,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,0,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,1,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,2,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,3,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,4,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,5,0
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,6,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,7,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,8,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,9,1
support-final-2cd11ff827dc56a49263e71d,uq_only_support_aware,Al-Li-V,3,10,10,1
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,0,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,1,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,2,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,3,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,4,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,5,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,6,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,7,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,8,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,9,0
support-final-4a84dce05fdc57c5272bb199,uq_only_support_aware,Al-Li-V,4,10,10,0
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,0,0
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,1,1
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,2,2
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,3,3
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,4,3
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,5,4
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,6,5
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,7,5
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,8,5
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,9,5
support-final-50481d7de104501120b84fb5,uq_only_support_aware,Al-V-Zn,2,10,10,5
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,0,0
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,1,1
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,2,2
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,3,2
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,4,3
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,5,3
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,6,4
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,7,5
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,8,6
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,9,7
support-final-5d1cc6924d5efee9cbf9f4a0,uq_only_support_aware,Al-V-Zn,3,10,10,7
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,0,0
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,1,0
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,2,0
support-final-38ae55456a55c01858bdaca6,uq_only_support_aware,Au-K-Tb,2,10,3,0
