family,NN_seed,calibration,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
all,1731,calibrated,5104,6,0.6,0.7,False,2,0.6841906607151031,1.0
all,1731,calibrated,5104,7,0.7,0.8,False,2,0.7386302351951599,1.0
all,1731,calibrated,5104,8,0.8,0.9,False,1,0.8832006454467773,1.0
all,1731,calibrated,5104,9,0.9,1.0,True,0,,
all,1731,calibrated,5105,0,0.0,0.1,False,0,,
all,1731,calibrated,5105,1,0.1,0.2,False,0,,
all,1731,calibrated,5105,2,0.2,0.3,False,11,0.27056367695331573,1.0
all,1731,calibrated,5105,3,0.3,0.4,False,18,0.33895843227704364,1.0
all,1731,calibrated,5105,4,0.4,0.5,False,2,0.4191351383924484,1.0
all,1731,calibrated,5105,5,0.5,0.6,False,5,0.5508862614631653,1.0
all,1731,calibrated,5105,6,0.6,0.7,False,4,0.6482916176319122,1.0
all,1731,calibrated,5105,7,0.7,0.8,False,0,,
all,1731,calibrated,5105,8,0.8,0.9,False,4,0.8401412516832352,1.0
all,1731,calibrated,5105,9,0.9,1.0,True,0,,
sampling,1729,raw,all,0,0.0,0.1,False,0,,
sampling,1729,raw,all,1,0.1,0.2,False,0,,
sampling,1729,raw,all,2,0.2,0.3,False,0,,
sampling,1729,raw,all,3,0.3,0.4,False,0,,
sampling,1729,raw,all,4,0.4,0.5,False,0,,
sampling,1729,raw,all,5,0.5,0.6,False,0,,
sampling,1729,raw,all,6,0.6,0.7,False,0,,
sampling,1729,raw,all,7,0.7,0.8,False,2,0.7914436757564545,0.5
sampling,1729,raw,all,8,0.8,0.9,False,35,0.858285881791796,0.9714285714285714
sampling,1729,raw,all,9,0.9,1.0,True,187,0.9667487928574098,0.9786096256684492
sampling,1729,raw,5101,0,0.0,0.1,False,0,,
sampling,1729,raw,5101,1,0.1,0.2,False,0,,
sampling,1729,raw,5101,2,0.2,0.3,False,0,,
sampling,1729,raw,5101,3,0.3,0.4,False,0,,
sampling,1729,raw,5101,4,0.4,0.5,False,0,,
sampling,1729,raw,5101,5,0.5,0.6,False,0,,
sampling,1729,raw,5101,6,0.6,0.7,False,0,,
sampling,1729,raw,5101,7,0.7,0.8,False,1,0.792497992515564,1.0
sampling,1729,raw,5101,8,0.8,0.9,False,9,0.8471744921472337,1.0
sampling,1729,raw,5101,9,0.9,1.0,True,35,0.9721665671893529,0.9714285714285714
sampling,1729,raw,5102,0,0.0,0.1,False,0,,
sampling,1729,raw,5102,1,0.1,0.2,False,0,,
sampling,1729,raw,5102,2,0.2,0.3,False,0,,
sampling,1729,raw,5102,3,0.3,0.4,False,0,,
sampling,1729,raw,5102,4,0.4,0.5,False,0,,
sampling,1729,raw,5102,5,0.5,0.6,False,0,,
