arm,seed,front_index,matches_zero_gain_base5101_reference_objective,conc_dfnb,equiv_pldn,tau,temperature,e_factor,sty
random_controller,5103,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random_controller,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random_controller,5104,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random_controller,5104,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random_controller,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
random_controller,5105,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
random_controller,5105,2,False,0.5,4.8,0.55,35,9.725753139739089,10463.979462876332
random_controller,5105,3,False,0.48,1.2,0.55,102,8.928698840823733,9849.293852680357
uq_esopt,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_esopt,5101,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_esopt,5101,2,False,0.5,4.8,0.6,32,9.700387163005304,9615.08939247551
uq_esopt,5101,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_esopt,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_esopt,5102,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_esopt,5102,2,False,0.5,4.5,0.55,40,9.693921163975808,10385.177147430722
uq_esopt,5102,3,False,0.47,1.2,0.55,100,9.115142185833085,9644.223245625366
uq_esopt,5102,4,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_esopt,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_esopt,5103,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_esopt,5103,2,False,0.5,4.9,0.55,32,9.72477974584034,10501.983278613236
uq_esopt,5103,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_esopt,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_esopt,5104,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_esopt,5104,2,False,0.5,4.9,0.55,32,9.72477974584034,10501.983278613236
uq_esopt,5104,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_esopt,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_esopt,5105,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_esopt,5105,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_only,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_only,5101,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_only,5101,2,False,0.5,4.8,0.6,32,9.700387163005304,9615.08939247551
uq_only,5101,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_only,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_only,5102,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_only,5102,2,False,0.5,4.5,0.55,40,9.693921163975808,10385.177147430722
uq_only,5102,3,False,0.47,1.2,0.55,100,9.115142185833085,9644.223245625366
uq_only,5102,4,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_only,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_only,5103,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_only,5103,2,False,0.5,4.9,0.55,32,9.72477974584034,10501.983278613236
uq_only,5103,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_only,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_only,5104,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_only,5104,2,False,0.5,4.9,0.55,32,9.72477974584034,10501.983278613236
uq_only,5104,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
uq_only,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
uq_only,5105,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
uq_only,5105,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
