model,family,step,split,calibration,temperature,nll,brier,auroc,rows,episodes,worlds
NN_OutputAction,OutputAction,200,calibration,uncalibrated,1,0.35937145878945703,0.0812418409992913,0.9660633484162899,60,3,1
NN_OutputAction,OutputAction,200,development,uncalibrated,1,0.4066340383201588,0.10120134631349093,0.9600000000000007,40,2,1
NN_OutputAction,OutputAction,200,fit,calibrated,2.248383138331932,0.04019238209545528,0.002740822053151243,0.9999999999999997,60,3,1
NN_OutputAction,OutputAction,200,calibration,calibrated,2.248383138331932,0.2422183846601231,0.07258270502590436,0.9660633484162899,60,3,1
NN_OutputAction,OutputAction,200,development,calibrated,2.248383138331932,0.2534979453814361,0.08107462035649157,0.9600000000000007,40,2,1
GBC_GraphOnly,GraphOnly,,fit,calibrated,4.8602179687468645,0.1038304871978344,0.009731031754555756,1.0000000000000002,60,3,1
GBC_GraphOnly,GraphOnly,,calibration,calibrated,4.8602179687468645,0.32406687790601096,0.08981884687410195,0.8891402714932126,60,3,1
GBC_GraphOnly,GraphOnly,,development,calibrated,4.8602179687468645,0.38217349876625056,0.11038404431830988,0.8500000000000002,40,2,1
GBC_Internal,Internal,,fit,calibrated,4.0683768979713575,0.06871745830677563,0.0044136753295476085,1.0000000000000002,60,3,1
GBC_Internal,Internal,,calibration,calibrated,4.0683768979713575,0.29902003812177036,0.08920154394626367,0.9660633484162898,60,3,1
GBC_Internal,Internal,,development,calibrated,4.0683768979713575,0.2916459775735779,0.08759001053059216,0.941666666666667,40,2,1
L2Logistic_GraphOnly,GraphOnly,,fit,calibrated,1.4525610320894133,0.03291759697716199,0.0015201187127125053,0.9999999999999996,60,3,1
L2Logistic_GraphOnly,GraphOnly,,calibration,calibrated,1.4525610320894133,0.17347566401548906,0.04583917343220901,0.97737556561086,60,3,1
L2Logistic_GraphOnly,GraphOnly,,development,calibrated,1.4525610320894133,0.39782026214898475,0.08119210306106149,0.9000000000000002,40,2,1
L2Logistic_Internal,Internal,,fit,calibrated,1.3387690213129988,0.01285078911377844,0.00035631817799128767,0.9999999999999996,60,3,1
L2Logistic_Internal,Internal,,calibration,calibrated,1.3387690213129988,0.156132326889968,0.05138940588984842,0.9852941176470592,60,3,1
L2Logistic_Internal,Internal,,development,calibrated,1.3387690213129988,0.2450141003268875,0.07603882852703107,0.9633333333333339,40,2,1
