benchmark,permutation,scope,seed,n,failures,failure_rate,Brier,AUROC,NLL
MADE,61,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24395954740332285,0.547531619747042,0.680811965011016
MADE,62,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24573100653966026,0.5605875152998776,0.6844157473259326
MADE,63,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.242695112431771,0.5275397796817626,0.6787166880335161
MADE,64,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2505115731497044,0.4394124847001224,0.6947013642729649
MADE,65,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2432733098623094,0.5446756425948592,0.6799365624028634
MADE,66,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2496215885837187,0.4949000407996736,0.6924688897281492
MADE,67,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24744465500044796,0.5136678906568748,0.6879378176130786
MADE,68,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24405720553973714,0.5267237862097103,0.6813672403858314
MADE,69,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24645720843317243,0.4851081191350469,0.6864547311239422
MADE,70,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24820710067462312,0.5059159526723787,0.6896264781977635
MADE,71,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2496295471111271,0.5083639330885353,0.6924284810311357
MADE,72,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24347513108670668,0.547531619747042,0.6799818028609041
MADE,73,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24805905271594383,0.5002039983680131,0.6892595887311657
MADE,74,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2473945564793967,0.5046919624643003,0.6879379081238447
MADE,75,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24967748025125222,0.4679722562219502,0.69287122087754
MADE,76,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.23656533094454515,0.6115871073031416,0.6658213427373062
MADE,77,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.23070088639166028,0.7029783761729906,0.6539943877551244
MADE,78,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2548695625980762,0.44104447164422683,0.7033263739025116
MADE,79,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24773662310421848,0.48878008975928194,0.689086008297337
MADE,80,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25166989056187095,0.4663402692778458,0.6967350919013247
MADE,81,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25204118843610024,0.45858833129334964,0.6976716449351309
MADE,82,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25857659633316893,0.3990208078335373,0.7108079793036175
MADE,83,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24626105149353528,0.5397796817625459,0.6857481500692011
MADE,84,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24556644352026336,0.5393716850265198,0.6842250347445602
MADE,85,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2426737443102674,0.5744594043247654,0.6781739922324571
MADE,86,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2515413542235244,0.4834761321909425,0.6965740190072465
MADE,87,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2473640147875985,0.47164422684618523,0.6881847244646012
MADE,88,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2523599400885354,0.4353325173398613,0.6982940500159763
MADE,89,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2500499669289253,0.5018359853121175,0.6932603780374833
MADE,90,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.26020553337292873,0.3945328437372501,0.7141585514441906
MADE,91,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25503013636738503,0.4353325173398613,0.7034601723235621
MADE,92,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24553357442676166,0.518563851489188,0.6845896780082876
MADE,93,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24343841749558653,0.5377396980824154,0.6798203989674377
MADE,94,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2501379460648378,0.47531619747042025,0.69366473252613
MADE,95,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.254306036108402,0.44512443900448795,0.7019309152356515
MADE,96,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24912056786769501,0.47939616483068137,0.6916873378530064
MADE,97,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25496525686531724,0.41370869033047736,0.7035808454456859
MADE,98,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24453797642821407,0.5385556915544676,0.6821601562862338
MADE,99,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24784088859094555,0.4944920440636475,0.6893039835965606
