arm,budget,seed,task_id,baseline_SUN,arm_SUN,delta_SUN,baseline_AUDC,arm_AUDC,delta_AUDC,baseline_result_sha256,arm_result_sha256
es_only_independent,10,3,Al-Li-V,2,0,-2,0.08,0.0,-0.08,1cec95d2d75db3d5a97682914ddb7bda69f833c414730a67a3ff7a319c226486,d2f714fa8c04ed184e9e2f67037c30579b9dab0a37e3b0de9e2d9267c137f529
es_only_independent,10,3,Al-Lu-Pt-Rb-Sm,3,0,-3,0.23,0.0,-0.23,57446aa7062e59d10d7aaa3d4e3278b86dc9536b5fc6df516b1be461418ce3ee,630f4c668e206b41610583b4a7f1d419d367bb61d6fc3f3ac4bb267c334c4339
es_only_independent,10,3,Al-V-Zn,5,5,0,0.69,0.63,-0.05999999999999994,b2b55503dfd55b427a93f4bf41ffd256d8fbf3eab136003a3e6744e16ecedb00,f7eecc81de4150b5f4e42fa01da1760c84d75c576fbe016e5875a59e3fcdc95d
es_only_independent,10,3,Au-Cr-Cs-Dy,0,0,0,0.0,0.0,0.0,8e32a22f4bcf77833362337a0492b858496eaa815a4855e680eb06a78cbcba10,fe776f287bdbb3ea88dd71acc2b9ee3f700cb40d42821cac99e9dca38049244c
es_only_independent,10,3,Au-K-Tb,0,1,1,0.0,0.17,0.17,5141a04e7c4c4ed3274118fc1ca5c91b8a99123e2d762a5e92704d1f316d73ca,864df57c51dc3013c721c08a0173d3b195cc60407040e529b9620b4eb9e6527d
es_only_independent,10,3,Au-Tb-V-Y,2,0,-2,0.18,0.0,-0.18,4864c13e3185ff5738471dce6a07a1d9967f71a3c355f1ee17cc90fe68509ebd,5708db3442963e6995a5182faa864d7c9fbd526ec34735d52ab33864ec238ad8
es_only_independent,10,3,Ba-Be-Hf-Li,0,0,0,0.0,0.0,0.0,b6cfd27d61131292307647e6f557101880fd14af5ecce6308bfd72c84e7fec67,d34aab1e4cd18ce7284fb2b2b74ecccb7b068d97b2c1c61a80c283f3f08356f8
es_only_independent,10,3,Ba-Nd-Ni-W,0,0,0,0.0,0.0,0.0,dbb35b3472ca8bb1aa7ca9cf277680251bd1665e12886867675cb4930572d50f,5de31ef1ed8cbdc6216081daac21849c3bfeddf9538153f8b6425dee456415e3
es_only_independent,10,3,Ca-Fe-Gd-Pb-Tb,0,1,1,0.0,0.05,0.05,6bc7bef6259cb523563ff9064179d2963ef915c598cbeeb0a796ae8c473ebb10,f2af2b91b39d1b066c6935d4a2e3ade62bf2c549640b3ee9ddb06e7c3b83a2a6
es_only_independent,10,3,Ca-Pd-Sn-W,0,0,0,0.0,0.0,0.0,a1467178f904aabbf65b137078d5aee6101abee3750d64c4fcc75aeccc4ac94b,8f7e077f6c38cc7826850808fef0cf1b6c8ede8b53f21f5389cdc5547a861339
es_only_independent,10,3,Cd-Gd-Mn-Na-Ta,0,0,0,0.0,0.0,0.0,39251c6aa0465906fad8353f7eeb73692578732944ef5b6bcca6fca05224e2ff,293712becc41b5202993aec4877c12f71874c5d98c717a14dd244a0e1f19b8f4
es_only_independent,10,3,Cd-Li-Nd-Ti-W,0,0,0,0.0,0.0,0.0,ee2b83a184874a6bb88b1457928d89bf1384c59488d3ea753ee7ac5709bcd55f,9054ac0cd3de4cb5514a6ab1ed920e4cc3d940743966b170d0a49992ff5b31cf
es_only_independent,10,3,Ce-Er-Pb-Rh,1,1,0,0.19,0.19,0.0,76fe468ba1f279cec302473bc7d4b9b7004d881ac47a07955399a923577d62b4,c91b372bd4e78db09cb0aa722fc392ffe7fe3a79d500a58ba6c4ae28713939c6
es_only_independent,10,3,Ce-Ir-Pt-Sn,1,0,-1,0.11,0.0,-0.11,b54baf0bfedf8a1c7a31f24bd3f7e4c47115bd8c000acfe4b56a51ea3b3b6abb,154caac166c248e7c27ccdbbed85b333877e61acc17f1ba74309500a867f39f4
es_only_independent,10,3,Co-Dy-Ta-Y,0,0,0,0.0,0.0,0.0,5cb3ec5166e5e4048cdeb8d7bc3c88f49202a7e86a29507c85bf78bff77235c6,4cb5acca16f2cfe72b262c0e5ee2f44b4fa608ba7af92b9d020d99e50c78729d
es_only_independent,10,3,Co-Dy-W,0,0,0,0.0,0.0,0.0,dd2b01c3976a4124606cc6bfb3d0b852efcdaeed7fe3bfed48244159d86c5b1b,6c78a96ae978e2d638c076b1bb8e73023896d5bce50ebb2c2bd8ab1151eb6443
es_only_independent,10,3,Co-Hf-In-Ru-Tm,1,0,-1,0.17,0.0,-0.17,fc88f8444b71fa01650dce3d0f6281a7632f0ac15e7d48eafc66527771e73280,b85f61dce43503ff3a8d833016506736efc43d0600ec1343ad617dd4c4414d54
es_only_independent,10,3,Co-Hg-Mg-Sr-W,0,0,0,0.0,0.0,0.0,539281fecd5191391ad09c053312f2294e88cad2b764a8a3da6874c9ffea5b56,c210a4183041e5408cd958e8cf17f3d87262160ba81a9ec85f8e15bf926ce8b0
es_only_independent,10,3,Co-Mg-Na,0,0,0,0.0,0.0,0.0,32f94791f16f5860009a461f85834fb35101e2b0a2baad27766d4cced92827d5,2f59dac9a42725817eecaf72f33ee002389538ecd60cdde8cda7100256f183a0
es_only_independent,10,3,Co-Pd-Tl,0,0,0,0.0,0.0,0.0,ead8200ca8d8f68613df6d6eb51b406063550480a694faa8799cd33566db224d,b29c8ec2774518fb79e8f6d309bbbe406b255d543af2bd58ae42c6084ab45adb
es_only_independent,10,3,Dy-K-Pd-Sm,0,0,0,0.0,0.0,0.0,a8b0f6983c45cb4691f850e668bcd34d3d920da9edd4cfa62616394f6edaaaef,d001424ad96c78ccdfb74c8e1f6f7f8501289b100b52c6251051ae54ae523393
es_only_independent,10,3,Eu-Nb-Sn-Tl,0,0,0,0.0,0.0,0.0,17cb847c88d7b5924de40619dbb4741f695904860d39038564e61ead6bcf4d5a,115bdaeec99bfd3725c70baa66e7ee651cbc8a3c79b58265dad6cf85181b46f3
es_only_independent,10,3,Ga-Ho-Lu,5,2,-3,0.33,0.36,0.02999999999999997,b47ff8757bca7c11d7b86aca7fb0d6d29cdaf0f25ac2dff1c8212071e72dd26e,89f18a97f064ab67e2d0d9dcecdc256d94cdd842f0796da6e0bd93bafee89dba
es_only_independent,10,3,Ga-Pt-Tm,2,3,1,0.36,0.39,0.030000000000000027,162559bf45a68c7be9e8870205c1d4de7061a201c56cac1ded2cd83e3701806f,4c5d8a9eb18a0c20122326dd93d9c17d6ad125901ba2207b28e19c70fa862a75
es_only_independent,10,3,Hf-Ni-Zr,8,3,-5,0.82,0.39,-0.42999999999999994,e39d28f21dc6c276390744c4e770c04a4f4923db8e2f9ff86f1c5b16fb4c61cd,c2f3e7c44cb5d1a6bad2777fe5306b7219319c97c192c10091cf2da4add103a1
es_only_independent,10,3,Mg-Sn-Sr,6,7,1,0.62,0.65,0.030000000000000027,cfd6616fb4dd844ff89316f4529ac30dceeaf252d8773ce8e0e7ece599740fda,d8c3273e58e9f6126fa8651868b4cbc47025363f01ba57c3bee72cc0272c59a7
full_support_aware,10,2,Al-Li-V,0,0,0,0.0,0.0,0.0,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,013df0dbfbd0566787fefda46b5a5acde971e2ba99540a3e17a3d21bd554f86e
full_support_aware,10,2,Al-V-Zn,4,4,0,0.5,0.42,-0.08000000000000002,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,f23bef1538602e0229db2d57a3b1cc8ff0286978a1dbda5710180e2d351c34a0
full_support_aware,10,2,Au-Cr-Cs-Dy,0,0,0,0.0,0.0,0.0,308fb83a3f9c23c3413c845ef2561dcbcf8eddf1d97a4aeecf54c226247334cf,174f3835855cb70cfc167f4ade1f6875ec8f47992db7c155bdf8961909bcbf86
full_support_aware,10,2,Au-K-Tb,4,0,-4,0.26,0.0,-0.26,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,a3c68ad59772d99dfbf3f4cc47cf00631eaa05c0661052a93848bab004f5e261
full_support_aware,10,2,Au-Tb-V-Y,1,0,-1,0.11,0.0,-0.11,b036a3710313abb535bed9ce55603ffee4915099676393028f45f0da30e5a3dd,093291e9198a1ca405f4365c03e7c66e4f11465418c47092c56c140364b585f7
full_support_aware,10,2,Ba-Be-Hf-Li,0,0,0,0.0,0.0,0.0,147e7feb28d697c1cc5289a3565baad767372ff412267f1962774eb8e4beed74,41352aef305a3c986b1420b1e7dbc2556fcbc5c83bc552689b5943599ac4e926
full_support_aware,10,2,Ba-Nd-Ni-W,0,0,0,0.0,0.0,0.0,a1625153189681466a1c8b65fee90399d24dc1173213dfb54123418348d683fa,2de62d470b8c551222ecefc8d6cf990763d8ff817f29861b8f28eab41978fb65
full_support_aware,10,2,Ca-Pd-Sn-W,0,0,0,0.0,0.0,0.0,66c45bea35cd598248937bd3bc527003116f2ddb693fcc9e539c9924696c6743,fbdefae4df5e4542573352247d273a3ef2827ebae6c06025b77f3c773324140c
