NN_seed,calibration,population,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
1731,raw,selected_test,5104,4,0.4,0.5,False,1,0.4693237841129303,1.0
1731,raw,selected_test,5104,5,0.5,0.6,False,0,,
1731,raw,selected_test,5104,6,0.6,0.7,False,1,0.699613094329834,1.0
1731,raw,selected_test,5104,7,0.7,0.8,False,1,0.7466417551040649,1.0
1731,raw,selected_test,5104,8,0.8,0.9,False,0,,
1731,raw,selected_test,5104,9,0.9,1.0,True,0,,
1731,raw,selected_test,5105,0,0.0,0.1,False,1,0.07337099313735962,1.0
1731,raw,selected_test,5105,1,0.1,0.2,False,28,0.14544262178242207,1.0
1731,raw,selected_test,5105,2,0.2,0.3,False,7,0.2409858341727938,1.0
1731,raw,selected_test,5105,3,0.3,0.4,False,2,0.34324367344379425,1.0
1731,raw,selected_test,5105,4,0.4,0.5,False,2,0.4683092385530472,1.0
1731,raw,selected_test,5105,5,0.5,0.6,False,1,0.5083523988723755,1.0
1731,raw,selected_test,5105,6,0.6,0.7,False,3,0.6778493920962015,1.0
1731,raw,selected_test,5105,7,0.7,0.8,False,0,,
1731,raw,selected_test,5105,8,0.8,0.9,False,0,,
1731,raw,selected_test,5105,9,0.9,1.0,True,0,,
1731,calibrated,selected_test,all,0,0.0,0.1,False,1,0.09815025329589844,1.0
1731,calibrated,selected_test,all,1,0.1,0.2,False,127,0.1662689033807732,0.9606299212598425
1731,calibrated,selected_test,all,2,0.2,0.3,False,60,0.2306719457109769,0.9833333333333333
1731,calibrated,selected_test,all,3,0.3,0.4,False,8,0.34585823863744736,1.0
1731,calibrated,selected_test,all,4,0.4,0.5,False,10,0.4409749984741211,1.0
1731,calibrated,selected_test,all,5,0.5,0.6,False,7,0.5329365049089704,1.0
1731,calibrated,selected_test,all,6,0.6,0.7,False,8,0.6546022370457649,1.0
1731,calibrated,selected_test,all,7,0.7,0.8,False,2,0.7116058170795441,1.0
1731,calibrated,selected_test,all,8,0.8,0.9,False,1,0.8022443652153015,1.0
1731,calibrated,selected_test,all,9,0.9,1.0,True,0,,
1731,calibrated,development,all,0,0.0,0.1,False,0,,
1731,calibrated,development,all,1,0.1,0.2,False,0,,
1731,calibrated,development,all,2,0.2,0.3,False,0,,
1731,calibrated,development,all,3,0.3,0.4,False,0,,
1731,calibrated,development,all,4,0.4,0.5,False,0,,
1731,calibrated,development,all,5,0.5,0.6,False,0,,
1731,calibrated,development,all,6,0.6,0.7,False,1,0.6995326280593872,1.0
