task_id,budget,arm_minus_baseline,metric,paired_seeds,missing_paired_seeds,coverage,n,mean,sample_variance_ddof1,SD
Au-Cr-Cs-Dy,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Cr-Cs-Dy,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Cr-Cs-Dy,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Tb-V-Y,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Tb-V-Y,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Au-Tb-V-Y,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Be-Hf-Li,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Be-Hf-Li,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Be-Hf-Li,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Nd-Ni-W,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Nd-Ni-W,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ba-Nd-Ni-W,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Pd-Sn-W,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Pd-Sn-W,50,uq_only_support_aware,mSUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ca-Pd-Sn-W,50,uq_only_support_aware,AUDC,,2;3;4,partial_fewer_than_three_seeds,0,,,
Ce-Er-Pb-Rh,50,uq_only_support_aware,SUN,,2;3;4,partial_fewer_than_three_seeds,0,,,
