task_id,budget,arm,metric,observed_seeds,missing_seeds,planned_seeds,coverage,n,mean,sample_variance_ddof1,SD
Mg-Sn-Sr,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.95,0.0049999999999999975,0.07071067811865474
Mg-Sn-Sr,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.935,0.00845,0.09192388155425117
Mg-Sn-Sr,10,es_only_independent,SUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,6.0,3.0,1.7320508075688772
Mg-Sn-Sr,10,es_only_independent,mSUN,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.6,0.029999999999999985,0.17320508075688767
Mg-Sn-Sr,10,es_only_independent,AUDC,2;3;4,,2;3;4,complete_three_evaluation_seeds,3,0.6733333333333333,0.0024333333333333316,0.04932882862316246
Mg-Sn-Sr,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,4.0,,
Mg-Sn-Sr,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.4,,
Mg-Sn-Sr,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.64,,
Au-Cr-Cs-Dy,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Au-Cr-Cs-Dy,10,es_only_independent,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,2.0,8.0,2.8284271247461903
Au-Cr-Cs-Dy,10,es_only_independent,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.2,0.08000000000000002,0.28284271247461906
Au-Cr-Cs-Dy,10,es_only_independent,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.29,0.1682,0.41012193308819755
Au-Cr-Cs-Dy,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-Cr-Cs-Dy,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-Cr-Cs-Dy,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-Tb-V-Y,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,1.5,0.5,0.7071067811865476
Au-Tb-V-Y,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.15000000000000002,0.005000000000000001,0.07071067811865477
Au-Tb-V-Y,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.145,0.0024499999999999995,0.049497474683058325
Au-Tb-V-Y,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,1.0,0.0,0.0
Au-Tb-V-Y,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.1,0.0,0.0
Au-Tb-V-Y,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.12,0.0002000000000000001,0.014142135623730954
Au-Tb-V-Y,10,es_only_independent,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.5,0.5,0.7071067811865476
Au-Tb-V-Y,10,es_only_independent,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.05,0.005000000000000001,0.07071067811865477
Au-Tb-V-Y,10,es_only_independent,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.075,0.01125,0.10606601717798213
Au-Tb-V-Y,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-Tb-V-Y,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Au-Tb-V-Y,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Be-Hf-Li,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,uq_only_support_aware,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,uq_only_support_aware,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,uq_only_support_aware,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,es_only_independent,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,es_only_independent,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,es_only_independent,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Be-Hf-Li,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Be-Hf-Li,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Be-Hf-Li,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,uq_only_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,uq_only_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,uq_only_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,es_only_independent,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,es_only_independent,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,es_only_independent,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ba-Nd-Ni-W,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,full_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ba-Nd-Ni-W,10,full_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,baseline_reference,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ca-Pd-Sn-W,10,baseline_reference,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ca-Pd-Sn-W,10,baseline_reference,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ca-Pd-Sn-W,10,uq_only_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,uq_only_support_aware,mSUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,uq_only_support_aware,AUDC,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
Ca-Pd-Sn-W,10,es_only_independent,SUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ca-Pd-Sn-W,10,es_only_independent,mSUN,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ca-Pd-Sn-W,10,es_only_independent,AUDC,2;3,4,2;3;4,partial_fewer_than_three_seeds,2,0.0,0.0,0.0
Ca-Pd-Sn-W,10,full_support_aware,SUN,2,3;4,2;3;4,partial_fewer_than_three_seeds,1,0.0,,
